Level 1 Group,Level 2 Group,Level 3 Group,Level 4 Group,Level 5 Group,Item Name,Quantity,Material $/Unit,Labor $/unit,Labor Rate ($/hr),Labor Productivity (units/hr),Equipment $/unit,Other $/unit,Subcontract $/unit,Subcontract Rate ($/hr),Subcontract Productivity (units/hr),Measurement Unit (Abbreviation),Description,Private Notes,Product Level 1 Group,Product Level 2 Group,Product Level 3 Group,Product Level 4 Group,Product Level 5 Group,Product Name,Vendor SKU,Incremental Order Quantity,Unit Of Purchase (Abbreviation),Price Per Unit,Waste Factor,Description.1,Private Notes.1,Tags
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Door Accessories & Hardware,----,Install Door Stop,0.0,6.27,----,0.0,0,----,----,----,----,----,Each (Ea),Install mid-hight wall door stop (base or hinge if no other option).,----,----,----,----,----,----,"Prime-Line 3 1/4 in., Rigid Vinyl, White, Self Adhesive Wall Protector",316307.0,1.0,each (each),2.97,0.0,----,https://www.homedepot.com/p/Prime-Line-3-1-4-in-Rigid-Vinyl-White-Self-Adhesive-Wall-Protector-U-9243/100209221,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Door Accessories & Hardware,----,DOORS - Weatherstripping - Replace,0.0,26.22,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Cinch 36 in. White Vinyl U-Shape Cinch Slide-On Under Door Seal,1001028396.0,1.0,each (each),13.82,0.0,----,https://www.homedepot.com/p/Cinch-36-in-White-Vinyl-U-Shape-Cinch-Slide-On-Under-Door-Seal-43336/205573049,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Door Accessories & Hardware,----,Doors - Privacy Knobs,0.0,36.47,----,0.0,0,----,----,----,----,----,Each (Ea),"Install Privacy knobs, strike plate.",----,(null),----,----,----,----,Schlage Georgian Satin Nickel Privacy Bed/Bath Door Knob with Lock,779758.0,1.0,each (each),26.47,0.0,----,https://www.homedepot.com/p/Schlage-Georgian-Satin-Nickel-Privacy-Bed-Bath-Door-Knob-with-Lock-F40-GEO-619/100076011,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Door Accessories & Hardware,----,DOORS - Smart Lock Change Out,0.0,89.47,----,0.0,0,----,----,----,----,----,Each (Ea),Re-key with smart key door knob and dead bolt. (Per Door),----,----,----,----,----,----,Kwikset Juno Satin Nickel Exterior Entry Door Knob and Single Cylinder Deadbolt Combo Pack Featuring SmartKey Security,909843.0,1.0,each (each),56.97,0.0,----,https://www.homedepot.com/p/Kwikset-Juno-Satin-Nickel-Exterior-Entry-Door-Knob-and-Single-Cylinder-Deadbolt-Combo-Pack-Featuring-SmartKey-Security-991J-15-SMT-CP/100597328,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Doors:,Door Accessories & Hardware,----,DOORS - Replace passage knob (Brushed Nickel),0.0,30.47,----,5.5,0,----,----,----,----,----,Each (Ea),"Replace passage knob sets and strike plates on interior doors. To include bedrooms, closets and basement doors",Cost Codes for Doors,(null),----,----,----,----,Schlage Georgian Satin Nickel Passage Hall/Closet Door Knob,779786.0,1.0,each (each),24.97,0.0,----,https://www.homedepot.com/p/Schlage-Georgian-Satin-Nickel-Passage-Hall-Closet-Door-Knob-F10-GEO-619/100028727,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Wall Mounted Mail Box,----,----,Address Numbers,0.0,7.98,----,0.0,0,----,----,----,----,----,Each (Ea),Install Address # on Mail Box,----,----,----,----,----,----,Everbilt 2 in. Self-Adhesive Mylar Number Set,1003111488.0,1.0,each (each),3.47,0.0,----,https://www.homedepot.com/p/Everbilt-2-in-Self-Adhesive-Mylar-Number-Set-39142/303975025,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Wall Mounted Mail Box,----,----,Mailbox - Replace,0.0,55.58,----,0.0,0,----,----,----,----,----,Each (Ea),Demo old and install wall mount Mail box. Touch up paint if needed.,----,----,----,----,----,----,"Architectural Mailboxes Wayland Black, Small, Steel, Wall Mount Mailbox",1002093522.0,1.0,each (each),31.52,0.0,----,https://www.homedepot.com/p/Architectural-Mailboxes-Wayland-Black-Small-Steel-Wall-Mount-Mailbox-2689B-10/300118191,----
"Exterior Overall, Yard and Hardscape items",03. Front Porch/Stoop,Wall Mounted Mail Box,----,----,MISC - Mailbox - Paint,0.0,28,----,0.0,0,----,----,----,----,----,Each (Ea),Paint mailbox black,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Post Mail Boxes,Wood Post,----,Address Numbers,0.0,7.98,----,0.0,0,----,----,----,----,----,Each (Ea),Install Address # on both sides of Mail Box,----,----,----,----,----,----,Everbilt 2 in. Self-Adhesive Mylar Number Set,1003111488.0,1.0,each (each),3.47,0.0,----,https://www.homedepot.com/p/Everbilt-2-in-Self-Adhesive-Mylar-Number-Set-39142/303975025,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Post Mail Boxes,Wood Post,----,Fence Post Concrete,0.0,27.05,----,0.0,0,----,----,----,----,----,Each (Ea),1/2  bag per post,----,----,----,----,----,----,Quikrete 60 lb. Concrete Mix,929514.0,1.0,each (each),4.1,0.0,----,https://www.homedepot.com/p/Quikrete-60-lb-Concrete-Mix-110160/100318478,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Post Mail Boxes,Wood Post,----,Mail Box,0.0,21.87,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,"Gibraltar Mailboxes Elite Black, Medium, Steel, Post Mount Mailbox.",442034.0,1.0,each (each),27.63,0.0,----,https://www.homedepot.com/p/Gibraltar-Mailboxes-Elite-Black-Medium-Steel-Post-Mount-Mailbox-E1100B00/100004508,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Post Mail Boxes,Wood Post,----,Mail Box Post,0.0,39.99,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,"Gibraltar Mailboxes Cedar Deluxe, Drive-In, Crossarm, Mailbox Post Kit, Natural Finish",1000670614.0,1.0,each (each),51.49,0.0,----,https://www.homedepot.com/p/Gibraltar-Mailboxes-Cedar-Deluxe-Drive-In-Crossarm-Mailbox-Post-Kit-Natural-Finish-DPKX0000/100170234,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Post Mail Boxes,Metal Post,----,Address Numbers,0.0,7.98,----,0.0,0,----,----,----,----,----,Each (Ea),Install Address # on both sides of Mail Box,----,----,----,----,----,----,Everbilt 2 in. Self-Adhesive Mylar Number Set,1003111488.0,1.0,each (each),3.47,0.0,----,https://www.homedepot.com/p/Everbilt-2-in-Self-Adhesive-Mylar-Number-Set-39142/303975025,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Post Mail Boxes,Metal Post,----,MISC - Mailbox Kit - Replace - Metal,0.0,174.86,----,0.0,0,----,----,----,----,----,Each (Ea),"Replace old mail box with new black galvanized steal mailbox, black aluminum post, set in concrete. House number visible on each side.",----,----,----,----,----,----,"Architectural Mailboxes Roxbury Black, Large Steel Post Mount Mailbox and Premium Steel Post Combo",1002810326.0,1.0,each (each),92.93,0.0,----,https://www.homedepot.com/p/Architectural-Mailboxes-Roxbury-Black-Large-Steel-Post-Mount-Mailbox-and-Premium-Steel-Post-Combo-7980B-10/303056393,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Post Mail Boxes,Metal Post,----,Fence Post Concrete,0.0,27.05,----,0.0,0,----,----,----,----,----,Each (Ea),1/2  bag per post,----,----,----,----,----,----,Quikrete 60 lb. Concrete Mix,929514.0,1.0,each (each),4.1,0.0,----,https://www.homedepot.com/p/Quikrete-60-lb-Concrete-Mix-110160/100318478,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Misc Large Structure Removal:,----,----,Demo Shed,0.0,350,----,0.0,0,----,----,----,----,----,Each (Ea),"Demo Shed, Remove all materials and dispose off site",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Misc Large Structure Removal:,----,----,DEMO - Basketball  Post - Remove,0.0,125,----,0.0,0,----,----,----,----,----,Each (Ea),Cut basketball post aprox 3 inch from ground. Cap with smith top  plumbing cap. Dispose of post off site.,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Misc Large Structure Removal:,----,----,DEMO - Laundry Post - Remove,0.0,125,----,0.0,0,----,----,----,----,----,Each (Ea),Cut Laundry post aprox 3 inch from ground. Cap with smith top  plumbing cap. Dispose of post off site.,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Misc Large Structure Removal:,----,----,DEMO - Post Light - Remove,0.0,125,----,0.0,0,----,----,----,----,----,Each (Ea),"Remove post light, terminate electrical or gas lines. Fill hole. Dispose of post off site.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,"Trees, Bushes & Mulch…",Trim Tree & Bush:,----,YARD - Shurbs & Bushes - Trim,0.0,25,----,0.0,0,----,----,----,----,----,Each (Ea),"Trim shrubs and bushes six inches from the house, and attempt to square for appearance.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,"Trees, Bushes & Mulch…",Trim Tree & Bush:,----,YARD - Trees - Trim,0.0,125,----,0.0,0,----,----,----,----,----,Each (Ea),Trim all trees 10 ft from above the roof and/or six feet from the ground.,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,"Trees, Bushes & Mulch…",Fence Line Clean Up:,----,YARD - Clean Up - Fence Line (Standard),0.0,175,----,0.0,0,----,----,----,----,----,Each (Ea),"Cut down, remove, and trim all weeds, trees and growth in fence line.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,"Trees, Bushes & Mulch…",Fence Line Clean Up:,----,YARD - Clean Up - Fence Line (Heavy),0.0,250,----,0.0,0,----,----,----,----,----,Each (Ea),"Cut down, remove, and trim all weeds, trees and growth in fence line.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,"Trees, Bushes & Mulch…",Mulch:,----,YARD - Mulch Beds with Cedar Mulch,0.0,0.6897,----,0.65,0,----,----,----,----,----,Square Feet (SF),Mulch beds with cedar mulch,Cost Code for Landscaping,----,----,----,----,----,Vigoro 2 cu. ft. Bagged Premium Black Wood Mulch,549439.0,1.0,each (each),3.97,0.0,----,https://www.homedepot.com/p/Vigoro-2-cu-ft-Bagged-Premium-Black-Wood-Mulch-52050197/205606445,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Exterior Lighting & Electrical...,Exterior Outlets & Accessories:,Exterior Outlet Accessories:,ELECTRICAL - GFCI - Weatherproof Cover,0.0,37.09,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,"TAYMAC N3R In-Use Cover Kit - Extra Duty 15A WRTR Self-Test GFCI Outlet, Aluminum 1-Gang Box, Clear In-Use Outlet Cover",1000010764.0,1.0,each (each),29.99,0.0,----,https://www.homedepot.com/p/TAYMAC-N3R-In-Use-Cover-Kit-Extra-Duty-15A-WRTR-Self-Test-GFCI-Outlet-Aluminum-1-Gang-Box-Clear-In-Use-Outlet-Cover-MG420CS/206974012,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Exterior Lighting & Electrical...,Exterior Outlets & Accessories:,Exterior Outlets:,ELECTRICAL - GFCI Outlet - Replace,0.0,50.63,----,0.0,0,----,----,----,----,----,Each (Ea),Replace/install GFCI outlet,----,(null),----,----,----,----,"Leviton 15 Amp 125-Volt Duplex Self-Test SmartlockPro Tamper Resistant AFCI/GFCI Dual Function Outlet, White",1001708951.0,1.0,each (each),32.1,0.0,----,https://www.homedepot.com/p/Leviton-15-Amp-125-Volt-Duplex-Self-Test-SmartlockPro-Tamper-Resistant-AFCI-GFCI-Dual-Function-Outlet-White-R92-AGTR1-0KW/206804820,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,ELECTRICAL - LIGHTING - Flood Lights (Sensor),0.0,59.97,----,0.0,0,----,----,----,----,----,Each (Ea),Replace Exterior flood light.,----,----,----,----,----,----,Defiant 180 Degree Black Motion-Sensing Outdoor Security Light,703390.0,1.0,each (each),29.97,0.0,----,https://www.homedepot.com/p/Defiant-180-Degree-Black-Motion-Sensing-Outdoor-Security-Light-DF-5416-BK-A/203716689,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,ELECTRICAL - LIGHTING - Flood Lights (No Sensor),0.0,74.97,----,0.0,0,----,----,----,----,----,Each (Ea),Replace Exterior flood light.,----,(null),----,----,----,----,Commercial Electric Twin-Head Directional Bronze Outdoor Integrated LED Flood Light for Outdoor Security Lighting with Photocell,1006559579.0,1.0,each (each),49.97,0.0,----,https://www.homedepot.com/p/Commercial-Electric-Twin-Head-Directional-Bronze-Outdoor-Integrated-LED-Flood-Light-for-Outdoor-Security-Lighting-with-Photocell-TPAR2-PC-BZ/317640422,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,Entry Light (Standard),0.0,74.97,----,0.0,0,----,----,----,----,----,Each (Ea),"Demo of existing, Install of new, caulk for seal.",----,(null),----,----,----,----,Hampton Bay 1-Light Black Outdoor Wall Lantern Sconce (2-Pack),1002956547.0,1.0,each (each),49.97,0.0,----,https://www.homedepot.com/p/Hampton-Bay-1-Light-Black-Outdoor-Wall-Lantern-Sconce-2-Pack-JBO1691A-4/303832799,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,Entry Lights: (Upgrade),0.0,80,----,0.0,0,----,----,----,----,----,Each (Ea),"Demo of existing, Install of new, caulk for seal.",----,----,----,----,----,----,LNC Modern Frosted Black Porch Outdoor Wall Sconce 1-Light Classic Exterior Lantern with Mushroom Clear Seeded Glass Shade,1006750272.0,1.0,each (each),63.99,0.0,----,https://www.homedepot.com/p/LNC-Modern-Frosted-Black-Porch-Outdoor-Wall-Sconce-1-Light-Classic-Exterior-Lantern-with-Mushroom-Clear-Seeded-Glass-Shade-VAFNYAHD13356V6/318082135,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,Ceiling Mount Light,0.0,59,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Acclaim Lighting Builder's Choice Collection Ceiling-Mount 2-Light Matte Black Outdoor Light Fixture,1000557617.0,1.0,each (each),48.5,0.0,----,https://www.homedepot.com/p/Acclaim-Lighting-Builder-s-Choice-Collection-Ceiling-Mount-2-Light-Matte-Black-Outdoor-Light-Fixture-4902BK/204085901,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,Outdoor Fan With Light,0.0,169,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of Exterior Ceiling Fan.,----,----,----,----,----,----,Hampton Bay Gazebo III 52 in. Indoor/Outdoor Natural Iron Ceiling Fan with Light Kit,1004757258.0,1.0,each (each),125.81,0.0,----,https://www.homedepot.com/p/Hampton-Bay-Gazebo-III-52-in-Indoor-Outdoor-Natural-Iron-Ceiling-Fan-with-Light-Kit-YG836A-NI/311323553,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,Outdoor Fan Without Light.,0.0,149,----,----,----,----,----,----,----,----,Each (Ea),Installation of Exterior Ceiling Fan.,----,----,----,----,----,----,Hampton Bay North Pond 52 in. Indoor/Outdoor Matte Black Ceiling Fan with Downrod and Reversible Motor; Light Kit Adaptable,1002264684.0,1.0,each (each),109.0,0.0,----,https://www.homedepot.com/p/Hampton-Bay-North-Pond-52-in-Indoor-Outdoor-Matte-Black-Ceiling-Fan-with-Downrod-and-Reversible-Motor-Light-Kit-Adaptable-51718/300654442,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Exterior Lighting & Electrical...,Exterior Lighting:,Fixtures:,Solar Landscape Lights,0.0,84.97,----,0.0,0,----,----,----,----,----,Each (Ea),6-pack,----,----,----,----,----,----,Hampton Bay Grant Solar 10 Lumens Dark Bronze Outdoor Integrated LED 3000K Warm White Landscape Path Light (6-Pack),1002643994.0,1.0,each (each),16.59,0.0,----,https://www.homedepot.com/p/Hampton-Bay-Grant-Solar-10-Lumens-Dark-Bronze-Outdoor-Integrated-LED-3000K-Warm-White-Landscape-Path-Light-6-Pack-84101/301712164,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Exterior Lighting & Electrical...,Exterior Lighting:,Bulbs:,ELECTRICAL - LIGHTING -LED Flood,0.0,13.18,----,5.0,0,----,----,----,----,----,Each (Ea),Replace Bulb LED,Cost Codes for Lighting,(null),----,----,----,----,EcoSmart 120-Watt Equivalent PAR38 Dimmable Energy Star Flood LED Light Bulb Bright White (2-Pack),1001654080.0,0.5,each (each),16.11,0.0,----,https://www.homedepot.com/p/EcoSmart-120-Watt-Equivalent-PAR38-Dimmable-Energy-Star-Flood-LED-Light-Bulb-Bright-White-2-Pack-B7PR38P120ESD01/303574492,----
"Exterior Overall, Yard and Hardscape items",02. Front Yard,Exterior Lighting & Electrical...,Exterior Lighting:,Bulbs:,ELECTRICAL - LIGHTING - LED BULB,0.0,9.47,----,0.0,0,----,----,----,----,----,Each (Ea),Instal 5000k LED 100 watt equivalent bulb.,----,----,----,----,----,----,Cree 100-Watt Equivalent A19 Dimmable Exceptional Light Quality LED Light Bulb Daylight (5000K),1004852968.0,1.0,each (each),8.93,0.0,----,https://www.homedepot.com/p/Cree-100-Watt-Equivalent-A19-Dimmable-Exceptional-Light-Quality-LED-Light-Bulb-Daylight-5000K-TA19-16050MDFH25-12DE26-1-11/311407015,----
